MP1;MP2;ECH;ANNE;M1;M2;M3;M3A;M3D;M5;M6A;M7A1;M13A;M14A;M7A;M8A;M9A;M6B;M7B1;M13B;M14B;M7B;M8B;M9B;M6C;M7C1;M13C;M14C;M7C;M8C;M9C;M6D;M7D1;M13D;M14D;M7D;M8D;M9D;M14;M15A;M16A;M20A;M17A;M18A;M19A;M15B;M16B;M20B;M17B;M18B;M19B;M15C;M16C;M20C;M17C;M18C;M19C;M15D;M16D;M20D;M17D;M18D;M19D;M20;M21;M22;COEM;ML2A;ML2B;ML2C;M22B;M22C;ML24;MP3;MFIN
1;1018;0050;20151219;4;5;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;66.79166;2014;1;59350;;;3;5;0
1;1018;0056;20151208;4;1;1;3;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2008;1;59350;;;4;1;0
1;1018;0065;20160308;4;3;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;66.79166;2015;1;88888;;;4;1;0
1;1018;0069;20160113;4;5;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;66.79166;2014;1;97209;;;3;2;0
1;1018;0072;20160205;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2011;1;62041;;;3;4;0
1;1018;0077;20160109;4;5;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;66.79166;2015;3;59286;;;3;5;0
1;1018;0088;20160227;4;3;2;;1;1;1;3;2009;04;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;36.55035;2015;3;59350;;;3;5;0
1;1018;0090;20160302;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;66.79166;2015;1;59350;;;4;2;0
1;1018;0094;20160325;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;66.79166;2015;1;59360;;;3;4;0
1;1018;0099;20160325;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;66.79166;2015;1;75056;;;3;4;0
